File_Name;Object;Object_Id;IFC_Element;Diameter;Material;Pipe_Color;Piping_type;H_V;Total_vertices;Xmin;Ymin;Xmax;Ymax;Project;Building;Floor;Room
TGA-Plan;pipe;LS1;IfcFlowElement;300;stainless steel;Red;Heating;H;3;2116;5501;2155;5501;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS2;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2386;5481;2586;5481;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS3;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;1224;5369;1470;5369;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS4;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2419;5161;2585;5161;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS5;IfcFlowElement;300;stainless steel;Red;Heating;H;2;1225;5051;1436;5051;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS6;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;2239;5035;2305;5035;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS7;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2296;5005;2356;5005;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS8;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;2296;4991;2391;4991;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS9;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2296;4978;2425;4978;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS10;IfcFlowElement;300;stainless steel;Red;Heating;H;3,5;2296;4964;2410;4964;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS11;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2296;4951;2373;4951;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS12;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2296;4937;2339;4937;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS13;IfcFlowElement;300;stainless steel;Red;Heating;H;3;2081;4891;2155;4891;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS14;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;1535;4846;1565;4846;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS15;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2403;4843;2586;4843;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS16;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;1501;4835;1566;4835;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS17;IfcFlowElement;300;stainless steel;Red;Heating;H;2;1466;4823;1591;4823;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS18;IfcFlowElement;300;stainless steel;Red;Heating;H;2;1431;4811;1565;4811;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS19;IfcFlowElement;300;stainless steel;Red;Heating;H;3;1449;4799;1567;4799;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS20;IfcFlowElement;300;stainless steel;Red;Heating;H;3,5;1481;4787;1567;4787;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS21;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;1516;4774;1564;4774;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS22;IfcFlowElement;300;stainless steel;Red;Heating;H;3,5;1551;4763;1591;4763;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS23;IfcFlowElement;300;stainless steel;Red;Heating;H;2;1225;4732;1453;4732;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS24;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;2367;4523;2587;4523;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS25;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;1225;4413;1488;4413;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS26;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2334;4208;2586;4208;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS27;IfcFlowElement;300;stainless steel;Red;Heating;H;7;1804;4142;1851;4142;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS28;IfcFlowElement;300;stainless steel;Red;Heating;H;2;1225;4094;1523;4094;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS29;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2301;3929;2586;3929;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS30;IfcFlowElement;300;stainless steel;Red;Heating;H;5;1810;3846;1858;3846;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS31;IfcFlowElement;300;stainless steel;Red;Heating;H;3;2739;3825;2764;3825;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS32;IfcFlowElement;300;stainless steel;Red;Heating;H;5,5;2745;3821;2778;3821;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS33;IfcFlowElement;300;stainless steel;Red;Heating;H;2,5;1224;3775;1556;3775;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS34;IfcFlowElement;300;stainless steel;Red;Heating;H;5;2670;3774;2772;3774;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS35;IfcFlowElement;300;stainless steel;Red;Heating;H;11,5;2419;3779;2658;3779;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS36;IfcFlowElement;300;stainless steel;Red;Heating;H;5;2535;3725;2766;3725;Excel-IFC-Translater;OTH;3;G201
TGA-Plan;pipe;LS37;IfcFlowElement;300;stainless steel;Red;Heating;H;2;2608;3705;2637;3705;Excel-IFC-Translater;OTH;3;G201
